project name ,loc,#files,#commits,#modules,#classes,#methods,source
alibabacloud-microservice-demo,16724,392,327,59,126,400,microservice-based
bdd-pact-microservices,2903,112,50,10,29,62,microservice-based
coolstore-microservice,30924,171,655,12,55,366,microservice-based
cqrs-microservice-sampler,2347,61,87,14,31,108,microservice-based
customers-accounts-and-money-transfers,5892,241,23,44,134,443,microservice-based
event-driven-restaurant,3934,135,17,21,112,175,microservice-based
event-sourcing-microservices-example,8499,99,161,7,29,168,microservice-based
event-stream-processing-microservices,72876,406,88,49,201,1559,microservice-based
eventuate-tram-examples-customers-and-orders,7557,192,407,27,67,241,microservice-based
eventuate-tram-examples-java-spring-todo-list,2069,68,35,5,28,172,microservice-based
ftgo-application,20382,457,299,63,263,1171,microservice-based
gpmall,68995,586,485,94,309,857,microservice-based
java-microservice,5548,161,140,32,74,330,microservice-based
jhipster-ribbon-hystrix,722800,8775,17,25,98,744,microservice-based
jpetstore-6,7537,98,1319,5,34,352,microservice-based
kraker-info,2132,80,49,24,41,41,microservice-based
McPaspaoTakeAway,1618,61,23,18,30,133,microservice-based
micronaut-microservices-poc,37375,405,385,75,214,397,microservice-based
microservice,3139,73,138,14,39,212,microservice-based
MicroService1,8983,277,15,18,80,437,microservice-based
microservice-istio,7805,153,318,13,73,382,microservice-based
microservice-kubernetes,2911,63,51,11,35,199,microservice-based
microservices,1222,55,59,8,22,76,microservice-based
microservices-basics-spring-boot,4262,103,46,28,35,84,microservice-based
microservices-event-sourcing,33601,224,71,19,58,545,microservice-based
microservices-sample,23822,86,63,17,23,47,microservice-based
microservices-with-spring,3164,95,41,18,39,40,microservice-based
novel-cloud,17981,255,114,51,110,826,microservice-based
onemall,71683,1278,1143,344,805,2149,microservice-based
piggymetrics,11517,144,295,37,75,263,microservice-based
playing-with-java-microservices-book-code,3112,102,7,22,58,116,microservice-based
qbike,3987,106,62,28,61,98,microservice-based
Realtime-Streaming-DataMicroservices-AppMicroservices,2085,41,15,13,19,113,microservice-based
sample-kafka-micronaut-microservices,3187,67,15,7,34,296,microservice-based
sample-spring-chaosmonkey,1147,44,12,13,17,88,microservice-based
sample-spring-microservices,735,31,40,14,15,24,microservice-based
sample-spring-microservices-advanced,1374,41,13,19,19,107,microservice-based
sample-spring-microservices-new,1424,45,45,15,19,108,microservice-based
simultaneous-viewing-limit-system,2089,42,91,15,29,74,microservice-based
Spring5Microservices,30223,331,440,93,253,1937,microservice-based
spring-boot-microservices,18214,159,98,22,42,184,microservice-based
spring-boot-microservices-series,2464,63,15,20,35,55,microservice-based
spring-cloud-microservice-examples,3731,82,36,31,37,114,microservice-based
spring-cloud-microservices-on-kubernetes,2407,72,52,20,21,40,microservice-based
spring-cloud-netflix-example,1191,38,66,3,10,13,microservice-based
spring-microservices-k8s,2494,80,71,15,24,150,microservice-based
staffjoy,206094,838,34,77,274,613,microservice-based
stock-price-viewer-microservices-part1,704,20,4,7,11,26,microservice-based
tictactoe-microservices-example,5110,112,114,23,55,156,microservice-based
tiny-movie-catalog-microservice-app,1609,51,52,10,25,55,microservice-based
vertx-blueprint-microservice,9938,175,89,37,80,623,microservice-based
apollo,96454,1156,2783,133,688,4233,microservice-based
bus,310132,3201,1472,370,2336,23027,microservice-based
gravitee-gateway,64240,678,2200,165,497,2064,microservice-based
jsweet,136660,2001,1883,93,1206,7954,microservice-based
Jupiter,31353,465,2805,80,337,1954,microservice-based
Sentinel,83146,1371,788,301,984,5118,microservice-based
servicecomb-java-chassis,171001,3267,3636,422,2464,13092,microservice-based
sitewhere,40194,617,2670,167,444,3485,microservice-based
TeaStore,29137,335,1762,42,178,985,microservice-based
train-ticket,309862,2033,323,246,505,2264,microservice-based
lineage/base(lineage-16.0),3211309,19906,371425,754,8307,269544,android-based
lineage/base(lineage-17.0),3654582,22291,419035,863,9603,287107,android-based
lineage/base(lineage-17.1),3716241,22789,426617,864,9657,288285,android-based
lineage/base(lineage-18.0),4141704,26375,482369,1011,10906,306323,android-based
lineage/base(lineage-18.1),4190090,26713,499516,1016,10963,307387,android-based
lineage/base(lineage-19.1),4576171,27685,663184,1154,12355,325879,android-based
CalyxOS/base(android11),4169261,26699,482229,1012,10943,306972,android-based
CalyxOS/base(android12),4530132,27384,651640,1131,12206,322839,android-based
OmniROM/base(android-9),3186526,19930,371214,760,8309,269445,android-based
OmniROM/base(android-10),3696397,22744,426463,864,9665,288358,android-based
OmniROM/base(android-11),4147440,25866,502111,1014,10988,307850,android-based
OmniROM/base(android-12),4530005,27351,650684,1132,12201,322806,android-based
aospa/base(quartz-dev),3661107,22295,420479,755,8297,269415,android-based
aospa/base(ruby-staging),4167357,26363,501248,1011,10934,307014,android-based
aosp/base(android-9.0.0_r61),3185301,19468,420479,756,8286,268881,android-based
aosp/base(android-10.0.0_r41),3884869,24013,501248,862,9626,287714,android-based
aosp/base(android-11.0.0_r46),4359601,27907,674953,1013,384,306812,android-based
argouml,318086,2528,18138,103,1734,13656,others
AxonFramework,137719,1750,9694,156,1381,8670,others
junit4,35388,504,2579,60,378,2355,others
ArtOfIllusion,123581,528,814,21,456,5753,others
LakesideMutual,143476,367,8,58,216,1063,others
sentilo,118851,1467,29,322,954,6748,others
spring-petclinic-microservices,4670,134,722,17,38,60,others
,4576171,27907,674953,,,,
,704,20,4,,,,
,831477.2235,5365.023529,100299.9059,,,,
